Decathlon_reviews
Zeer goed omgang
Jestem zadowolona
"Deze regenjas gaat altijd mee in de rugzak, neemt weinig plaats in en houd je droog. Eveneens een mooi kleur."
Waterdichtheid is niet top bij hevige regenval.
Prima jas voor zomerse regendagen.
ok
Gemakkelijk en waterdicht
"Licht materiaal, idd waterdicht."
Goede jas voor de prijs
prijs/kwaliteit is top!
Zit perfect
good product
Best fit
Its lovely jacket with in this price
Excellent
Happy
Fitting and design good Fiber is also good
It's good but not fitting for me
"It's a good product.
light weigh.
can b used in light winters for gym purpose."
Loved the jacket
Mijn eerste keuze was mijn maat niet in maar deze zit ook kei goed en is ook wel mooi
Jammer dat de zakken erg ondiep zijn. Telefoon kan er niet in
Fijne niet al te dure jas
Fijne licht gewicht jas met een goede pasvorm en een mooie kleur.
Prima jas
Deze jas is ideaal voor wanneer het te koud is zonder jas en te warm met een dikke jas. En goed bestand tegen de regen
Alles prima . Mooie warme waterdichte jas.
Ideaal om te dragen. Pas perfect en kan tegen de regen.
"Heel blij met deze jas, vorige week 2 uur gelopen in de regen, bleef lekker droog en warm."
Prima pasvorm
had dit warmer verwacht
Warm genoeg en toch niet dik.
Prima
"kon zeer goed gebruiken, nu"
Door wind kwam er toch water bij de ritsen dat had misschien toch anders uitgevoerd kunnen worden of ik had gewoon pech kan ook
Fijne jas
"Geweldig product, zeker aanrader"
Heel goed
"De jas is gewoon super, 1 min punt is dat je de kap niet kan verbergen in uw kraag. Maar je kan ze er wel afnemen omdat dit met drukknopen zijn maar niet handig omdat in uwe zak van de jas te steken."
Leuke jas voor aantrekkelijke prijs. Grote maten liggen niet voor het grijpen.
Hele fijne lichte jas. Houdt je prima op temperatuur en kan zelfs een flinke hoosbui aan
Heel mooie vest voor die prijs
Eindelijk een jas waarvan de mouwen lang genoeg zijn!
"Valt ietwat klein, smal model. Heerlijk warm."
"prima jas, lekker warm en waterdicht, dit is al mijn 3e jas, puur nu een andere kleur gekocht"
"Mooie ruime capuchon (met mijn dreads erg handig). Valt goed over de heupen. Gekocht voor paardrijden, maar vooralsnog alleen voor 'netjes' gebruikt."
"Echt een fijne jas.
Het bontrandje heb ik eraf gehaald. Want dat zat me in de weg.
In het begin was de jas best stug maar dat is inmiddels soepeler geworden."
Lekker warm en wind dicht dus perfect voor mijn
Prima
Goede warme jas. Voor in de regen is de jas ook erg fijn. Het water valt er zo vanaf. Veel zakken is ook top.
"Hele fijne jas voor de buiten, warm en waterdicht. Jammer dat de jas iets zwaarder is dan een reguliere parka, maar het went wel. Zeker een aanbeveling."
Een heerlijk warme jas. Die precies zo is als op de foto. Toppie.
Top winterjas
Heel mooi
Geen
Alles top . Op de t shirt na .
Zeer tevreden!
Goed passend en fijne pasvorm.
Je zweet er enorm in binnenbekleding zou een stof moeten zijn die zweet door laat
"Prettig verrast, met deze jas!!"
"very nice, excelent quality, beautyful design"
"Zit goed, houdt wind goed tegen. Goede koop."
"Geweldig jas
Grote zakken veel ruimte om weg te steken"
Heerlijk vestje
Door dat deze klein valt zit het strakker dan normaal.
Nvt
Geen
Leuk flowerpower motief
Uitstekend
"Prettige jas. Lekker licht, waterdicht."
geen
Ik had een loopje van 15km met een paar vriendinnen. Prachtig weer maar de laatste km kregen we een hoosbui over ons heen. Zij hadden natte plekken op rug en schouders van de naden die toch niet waterdicht waren en ik met mijn mooie nieuwe jas was de enige droge. Tijdens de koffie na afloop van de tocht hebben er 2 vriendinnen gelijk dezelfde jas besteld. Dus....echt blij mee.
