reviews
jas heeft een mooi kleur maar veel te dun en daarom toch terug gestuurd.
"bij het blauwe model staan twee verschillende jassen door elkaar afgebeeld, een recht model jas en één wat meer op een vest lijkt. verwarrend! bij de andere kleuren is dit niet zo. ik wilde het rechte model voor mijn zoon,maar kreeg het vest. daarom retour. nu besteld bij concurrentie."
Een prachtig Jack van Pall Mall. De kleur is koningsblauw. Een heerlijk tussenjack. Maat klopt.
Kleur is een stuk donkerder dan op de foto. Viel tegen.
Jas valt op maat en de kleur is in het echt nog mooier. Fijne is ook dat deze waterbestendig is. Dus nooit meer een natte jas.
Had een korting van 62.30 kon ik niet laten lopen. Jas is perfect hier ga ik geen spijt van krijgen.
"De pasvorm is anders dan op de foto’s leek. Recht toe recht aan, geen model in te ontdekken voor mij. Geretourneerd dus."
"Jas heeft geen voering. Is daarom meer een luxe regenjas. Onze zoon van 16 is er blij mee, hij draagt het met een dikke hoody eronder."
super happy !!!!! im buy the super lekker jacket !!
"Drie spijkerjassen gekocht volgens de maattabel moest ik XXL hebben. Dat leek voor twee jassen aardig te kloppen. De Levis is echter veel te ruim. Ik schat dat ik bij Levis met L goed zou zitten. Helaas is die uitverkocht, want kleur en afwerking bevallen goed… afwachten."
Deze jeansjas was precies goed en een geslaagd verjaardagscadeau. De oude was versleten en deze nieuwe vertrouwd qua model. Hij kan weer een paar jaar vooruit ;)
jas heeft een mooi kleur maar veel te dun en daarom toch terug gestuurd.
"bij het blauwe model staan twee verschillende jassen door elkaar afgebeeld, een recht model jas en één wat meer op een vest lijkt. verwarrend! bij de andere kleuren is dit niet zo. ik wilde het rechte model voor mijn zoon,maar kreeg het vest. daarom retour. nu besteld bij concurrentie."
"Valt op maat , de jas zit fantastisch en de prijs is ook nog eens voordelig"
"Valt op maat , de jas zit fantastisch en de prijs is ook nog eens voordelig"
"Valt op maat , de jas zit fantastisch en de prijs is ook nog eens voordelig"
"zit lekker , mooie jas , had alleen aan de zijkant liever ritsen gehad in plaats van knopen. is een jas voor in het voorjaar ,zomer ."
Zeer mooie zomerjas. Goede afwerking. Kwaliteit zoals altijd bij Jack en Jones dik in orde. Valt wel klein dus maat groter bestellen.
Helaas kwam het artikel met een scheur aan. De maat viel heel erg klein en vrij kort voor een lange man.
regaly good big Hood and its Perfect for netherland weather
Mooie kleur. Valt goed. Te gebruiken als laagje onder winterjas. Straks mooi voor de warmere seizoenen
"Goed , voor een sportieve look. Draagt makkelijk licht gewicht en ziet er stoer uit. Kan ook met trui eronder een zachte winter door."
"Deze jas zit eg fijn, niet te warm niet te koud, is gewoon een mark en daar betaal je iets meer voor maar ook 10x betere kwaliteit"
Leuke tussen jas valt goed op maat. Mijn man was er bij mee😊
Zeer mooie zomerjas. Goede afwerking. Kwaliteit zoals altijd bij Jack en Jones dik in orde. Valt wel klein dus maat groter bestellen.
Helaas kwam het artikel met een scheur aan. De maat viel heel erg klein en vrij kort voor een lange man.
regaly good big Hood and its Perfect for netherland weather
"Mooie kleur groen, prima pasvorm in eigen maat, stoere, degelijke jas. Ook de afzonderlijke delen zijn modieus en praktisch te dragen. Zeker nu voor de helft van de prijs: aanrader. Mijn man is er blij mee."
Een prachtig Jack van Pall Mall. De kleur is koningsblauw. Een heerlijk tussenjack. Maat klopt.
De is zeer modieus en past bij bijna alle kleuren. Het is goed af gewerkt en ook de binnenkant is goed genoeg voorzien van zaken. Als het te fris is om zonder jas naar buiten te gaan en je trekt hem aan dan zit het en comfortabel
"Comfortabele jas, die mooi aansluit. Ik ben benieuwd of de stof ook ademend is, zoals op het label wordt vermeld."
WeFashion heeft de laatste jaren de neiging om veel te korte mouwen op hun kleding te zetten. Vooral bij winterjassen een probleem! Maar deze jas is ook voor mensen met lange armen fijn om te dragen! Ben er blij mee.
"Hele mooie heren mantel. Perfecte pasvorm, staat gelijk goed!"
"Juiste pasvorm, mooi materiaal. De jas ziet er netjes uit!"
Zeer mooie zomerjas. Goede afwerking. Kwaliteit zoals altijd bij Jack en Jones dik in orde. Valt wel klein dus maat groter bestellen.
Helaas kwam het artikel met een scheur aan. De maat viel heel erg klein en vrij kort voor een lange man.
regaly good big Hood and its Perfect for netherland weather
"Leuke jas, makkelijk voor op de fiets omdat hij winddicht is. Maat is prima, zoon is er super blij mee."
Zeer mooie zomerjas. Goede afwerking. Kwaliteit zoals altijd bij Jack en Jones dik in orde. Valt wel klein dus maat groter bestellen.
Helaas kwam het artikel met een scheur aan. De maat viel heel erg klein en vrij kort voor een lange man.
regaly good big Hood and its Perfect for netherland weather
Zeer mooie zomerjas. Goede afwerking. Kwaliteit zoals altijd bij Jack en Jones dik in orde. Valt wel klein dus maat groter bestellen.
Helaas kwam het artikel met een scheur aan. De maat viel heel erg klein en vrij kort voor een lange man.
regaly good big Hood and its Perfect for netherland weather
jas heeft een mooi kleur maar veel te dun en daarom toch terug gestuurd.
"bij het blauwe model staan twee verschillende jassen door elkaar afgebeeld, een recht model jas en één wat meer op een vest lijkt. verwarrend! bij de andere kleuren is dit niet zo. ik wilde het rechte model voor mijn zoon,maar kreeg het vest. daarom retour. nu besteld bij concurrentie."
Een prachtig Jack van Pall Mall. De kleur is koningsblauw. Een heerlijk tussenjack. Maat klopt.
Kleur is een stuk donkerder dan op de foto. Viel tegen.
Jas valt op maat en de kleur is in het echt nog mooier. Fijne is ook dat deze waterbestendig is. Dus nooit meer een natte jas.
Had een korting van 62.30 kon ik niet laten lopen. Jas is perfect hier ga ik geen spijt van krijgen.
"De pasvorm is anders dan op de foto’s leek. Recht toe recht aan, geen model in te ontdekken voor mij. Geretourneerd dus."
"Jas heeft geen voering. Is daarom meer een luxe regenjas. Onze zoon van 16 is er blij mee, hij draagt het met een dikke hoody eronder."
super happy !!!!! im buy the super lekker jacket !!
"Drie spijkerjassen gekocht volgens de maattabel moest ik XXL hebben. Dat leek voor twee jassen aardig te kloppen. De Levis is echter veel te ruim. Ik schat dat ik bij Levis met L goed zou zitten. Helaas is die uitverkocht, want kleur en afwerking bevallen goed… afwachten."
Deze jeansjas was precies goed en een geslaagd verjaardagscadeau. De oude was versleten en deze nieuwe vertrouwd qua model. Hij kan weer een paar jaar vooruit ;)
"Valt op maat , de jas zit fantastisch en de prijs is ook nog eens voordelig"
"Valt op maat , de jas zit fantastisch en de prijs is ook nog eens voordelig"
"Valt op maat , de jas zit fantastisch en de prijs is ook nog eens voordelig"
Een prachtig Jack van Pall Mall. De kleur is koningsblauw. Een heerlijk tussenjack. Maat klopt.
"zit lekker , mooie jas , had alleen aan de zijkant liever ritsen gehad in plaats van knopen. is een jas voor in het voorjaar ,zomer ."
Zeer mooie zomerjas. Goede afwerking. Kwaliteit zoals altijd bij Jack en Jones dik in orde. Valt wel klein dus maat groter bestellen.
Helaas kwam het artikel met een scheur aan. De maat viel heel erg klein en vrij kort voor een lange man.
regaly good big Hood and its Perfect for netherland weather
Mooie kleur. Valt goed. Te gebruiken als laagje onder winterjas. Straks mooi voor de warmere seizoenen
"Goed , voor een sportieve look. Draagt makkelijk licht gewicht en ziet er stoer uit. Kan ook met trui eronder een zachte winter door."
"Deze jas zit eg fijn, niet te warm niet te koud, is gewoon een mark en daar betaal je iets meer voor maar ook 10x betere kwaliteit"
Leuke tussen jas valt goed op maat. Mijn man was er bij mee😊
Zeer mooie zomerjas. Goede afwerking. Kwaliteit zoals altijd bij Jack en Jones dik in orde. Valt wel klein dus maat groter bestellen.
